name,type,full_text,url,source
Boarded (A),Campaign Trait,You begin with a detailed map of a very large jungle (this grants +2 competence bonus on all Knowledge [geography] checks made regarding this region) and 200 gp worth of mundane equipment to aid your exploration of the jungle.,http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/boarded-a/,SKL
Boarded (B),Campaign Trait,"You gain Polyglot as a bonus language and receive a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (nature) checks regarding the jungle.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/boarded-b/,SKL
Boarded (E),Campaign Trait,"Your familiarity with subtle slayings and toxins grants you a +2 trait bonus on all saves against poison. In addition, you can pick one type of poison listed below to be immune to, having undergone a long and painful process of building up an immunity to its effects: blue whinnis, giant wasp poison, medium spider venom, small centipede poison, or spider vine poison.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/boarded-in-mediogalti/,SKL
Boarded (C),Campaign Trait,"Your last home was a dangerous land of pirates and treachery, but also of fantastic opportunity. A life of weal and woe on the sea and amid the pirate controlled lands has toughened you to a variety of hardships. Pick one of the three categories of saving throws—you gain a +1 trait bonus on all saving throws of that type.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/boarded-c/,SKL
Brigand,Campaign Trait,"You begin with an extra 100 gp in ill-gotten gains. You also gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/bluff"">Bluff</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/diplomacy"">Diplomacy</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a>, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/sense-motive"">Sense Motive</a> checks when dealing with brigands, thieves, bandits, and their ilk.",http://www.d20pfsrd.com/traits/campaign-traits/kingmaker/brigand/,KNG
Buccaneer's Blood,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a> and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/profession"">Profession</a> (sailor) checks. In addition, you gain a one-time +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> to your Disrepute and Infamy scores.",http://www.d20pfsrd.com/traits/campaign-traits/skull-shackles/buccaneer-s-blood/,SAS
Caravan Guard,Campaign Trait,"You gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/survival"">Survival</a> checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/survival"">Survival</a> becomes a class skill for you.",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/caravan-guard/,JRG
Chance Encounter (Campaign; Mythic [Trickster]),Campaign Trait,"Mythic traits are a bit more powerful than most traits—this is intentional, as these traits help to set up a character's mythic background! Mythic traits are intended for use with Mythic characters. You tended to get in over your head as a child, but your biggest youthful misadventure was the time you “accidentally” found yourself behind enemy lines. You probably never would have made it back home if not for the aid of a mysterious woman who helped you trick your way through a group of cultists. Ever since, you've just been lucky when it comes to trickery. Benefit Once per day, if you fail an <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/bluff"">Bluff</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/disguise"">Disguise</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/sleight-of-hand"">Sleight of Hand</a>, or <a target=""_top"" href=""http://www.d20pfsrd.com/skills/stealth"">Stealth</a> check, you may immediately re-roll that check as a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Free-Actions"">free action</a>. You must take the second result, even if it is worse.",http://www.d20pfsrd.com/traits/campaign-traits/wotr-campaign/chance-encounter-campaign-mythic-trickster/,WOR
Chance Savior,Campaign Trait,You gain a +2 trait bonus on Initiative checks.,http://www.d20pfsrd.com/traits/campaign-traits/carrion-crown/chance-savior/,CCR
Child of Infamy,Campaign Trait,"You gain a +1 trait bonus on Perform (act) skill checks, and the skill is always considered a class skill for you. Furthermore, you begin play with an additional 300 gp.",http://www.d20pfsrd.com/traits/campaign-traits/council-of-thieves/child-of-infamy/,COT
Child of the Crusades (Campaign; Mythic [Marshal]),Campaign Trait,"Mythic traits are a bit more powerful than most traits—this is intentional, as these traits help to set up a character's mythic background! Mythic traits are intended for use with Mythic characters. Your parents were members of the crusades. The righteousness of the crusades sometimes feels as if it runs in your very blood, and it bolsters you against demonic influence. Benefit Once per day when you fail a saving throw against an effect created by a <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Demon"">demon</a> that would possess or incapacitate you mentally, you may immediately reroll that saving throw as a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Free-Actions"">free action</a>. You must take the second result, even if it is worse.",http://www.d20pfsrd.com/traits/campaign-traits/wotr-campaign/child-of-the-crusades-campaign-mythic-marshal/,WOR
Childhood Crush,Campaign Trait,"You gain a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> against foes that threaten your crush. Once per day, you may attempt to earn a kind word or a smile from the NPC whom you have a crush on by making a DC 15 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Charisma-Cha-"">Charisma</a> check. If you’re successful, the elation and joy at the attention gives you a +1 trait bonus on all saving throws for the remainder of the day. If you’re ever lucky enough to win the NPC’s love, this +1 trait bonus on saving throws applies at all times, as long as your relationship remains active. Note that gender isn’t an issue in the case of these three NPCs. Unless your GM says otherwise, all three of these NPCs are considered to be bisexual as far as this trait’s implications are concerned. Note that if you take this trait, you’ll likely want to coordinate NPC choices with any other player who chooses this trait as well, since choosing the same NPC could cause unwanted party strife. Of course… if that’s what you and the other player are looking for, go for it!",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/childhood-crush/,JRG
Colonial,Campaign Trait,"You gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) checks relating to settlements and politics and a +1 trait bonus on saving throws against disease.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/colonial/,SKL
Conspiracy Hunter,Campaign Trait,"Choose one of the following skills: Bluff, Diplomacy, <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local), Perception, Sense Motive, or Stealth. You gain a +1 trait bonus on this skill and it is always considered a class skill for you.",http://www.d20pfsrd.com/traits/campaign-traits/council-of-thieves/conspiracy-hunter/,COT
Devotee of the Old Gods,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (history) and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (religion) checks, and one of those skills is always a class skill for you. In addition, your faith in the old gods grants you a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on saving throws against divine magic.",http://www.d20pfsrd.com/traits/campaign-traits/mummy-s-mask/devotee-of-the-old-gods/,MUM
Diabolist Raised,Campaign Trait,"You gain a +1 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against nobility of a specific city or region, and a +1 bonus on all saving throws made against mind-affecting attacks from devils.",http://www.d20pfsrd.com/traits/campaign-traits/council-of-thieves/diabolist-raised/,COT
Dockside Brawler,Campaign Trait,"Fortunately, you were able to conceal your brass knuckles when you were press-ganged, and you begin the campaign with them, regardless of your starting circumstances. You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on damage rolls with <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/weapon-descriptions/brass-knuckles"">brass knuckles</a> and improvised weapons.",http://www.d20pfsrd.com/traits/campaign-traits/skull-shackles/dockside-brawler/,SAS
Drug Addict,Campaign Trait,"Someone you know has become addicted to a drug distilled from the venom of dream spiders. The drug induces sleep filled with vivid dreams, during which the user’s body often shakes and shivers, giving the substance its street name. Shiver is particularly dangerous for the desperate, for its promises of dreams and oblivion are often viewed as the only alternative apart from suicide for escaping a dreary life. You’ve always thought of the drug as a problem of the lower class, but then someone you know overdosed on the stuff. You’ve done a bit of investigating and have learned that the one who got your friend addicted in the first place was a crimelord. Unfortunately, the guards seem to be more focused on the bigger dealers. They don’t have time to devote many resources to what they’ve called, “a bit player in a beggar’s problem.” It would seem that if his operation is to be stopped, it falls to you. Addicted Friend: The addict is a friend or lover who might or might not have survived the overdose. Your research into the drug scene and local politics has given you a respectable education in street knowledge. You gain a +2 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) checks or Diplomacy checks to Gather Information (choose one when selecting this trait). Personal Addiction: You were the addict. You blame the crimelord for your brush with death and hate how his drugs are causing similar problems among other youths. Fortunately, your body recovers quickly from toxins, and you have a +1 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat/#TOC-Fortitude"">Fortitude</a> saving throws.",http://www.d20pfsrd.com/traits/campaign-traits/curse-of-the-crimson-throne/drug-addict/,CCT
Earning Your Freedom,Campaign Trait,"Choose one of the three categories of saving throw (Fortitude, Reflex, or Will); you gain a +1 trait bonus on all saving throws of that type.",http://www.d20pfsrd.com/traits/campaign-traits/legacy-of-fire/earning-your-freedom/,LOF
Exchange Agent,Campaign Trait,"You gain one language as a bonus language. <p class=""description""> Additionally, choose one of the following skills: <a target=""_top"" href=""http://www.d20pfsrd.com/skills/handle-animal"">Handle Animal</a> , <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (geography), <a target=""_top"" href=""http://www.d20pfsrd.com/skills/linguistics"">Linguistics</a> , or <a target=""_top"" href=""http://www.d20pfsrd.com/skills/survival"">Survival</a> . You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on checks made with this skill and it is always a class skill for you.</p>",http://www.d20pfsrd.com/traits/campaign-traits/shattered-star/exchange-agent/,STR
Exposed to Awfulness (Campaign; Mythic [Guardian]),Campaign Trait,"Mythic traits are a bit more powerful than most traits—this is intentional, as these traits help to set up a character's mythic background! Mythic traits are intended for use with Mythic characters. As a child, you were badly mauled by a <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Demon"">demon</a>. The <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Demon"">demon</a> was slain before it could kill you, but you lingered at death's door for weeks before regaining consciousness. Ever since, you've been unusually hale and hearty, as if your body had reacted to its brush with doom by becoming supernaturally fit. Benefit Once per day when you fail a saving throw against an effect created by a <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Demon"">demon</a> that would kill or incapacitate you physically, you can immediately reroll that saving throw as a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Free-Actions"">free action</a>. You must take the second result, even if it is worse.",http://www.d20pfsrd.com/traits/campaign-traits/wotr-campaign/exposed-to-awfulness-campaign-mythic-guardian/,WOR
Eye for Plunder,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/appraise"">Appraise</a> and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/perception"">Perception</a> checks to find concealed or secret objects (including doors and traps). In addition, you begin the campaign with a selection mundane trade goods worth 50 gp that you were able to scrounge together during your first day on the ship.",http://www.d20pfsrd.com/traits/campaign-traits/skull-shackles/eye-for-plunder/,SAS
Favored Son/Daughter,Campaign Trait,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (local) is always a class skill for you. In addition, you can choose any one law-abiding citizen from below as an ally; depending on the person you pick, you’ll get different benefits.",http://www.d20pfsrd.com/traits/campaign-traits/rise-of-the-runelords/favored-son-daughter/,RRL
Finding Your Kin (3.5E),Campaign Trait,"an NPC and a class. Benefit The chosen class is always a favored class to you, and your dedication to it is such that every time you take a level in the class, you gain +1 hit point and 1 additional skill point over and above what you would normally gain. If multiple PCs take this trait, they should be siblings who were both protected and raised by the chosen NPC.",http://www.d20pfsrd.com/traits/campaign-traits/legacy-of-fire/finding-haleen/,LOF
Firebrand,Campaign Trait,"You gain a +1 trait bonus on Initiative checks, and if you act in a surprise round, you gain a +1 trait bonus on all attack rolls.",http://www.d20pfsrd.com/traits/campaign-traits/council-of-thieves/westcrown-firebrand/,COT
Fools for Friends,Campaign Trait,"Whenever you take the <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Aid-Another"">aid another action</a> to help an ally, or whenever an ally aids you in this manner, a successful check grants an additional +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> to the check for which aid was being rendered. Additionally, as long as one of your friends is within 30 feet, you gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on all saving throws against <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/special-abilities#TOC-Charm-and-Compulsion"">charm and compulsion</a> effects.",http://www.d20pfsrd.com/traits/campaign-traits/second-darkness/fools-for-friends/,SDK
Foreign Opportunist,Campaign Trait,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/appraise"">Appraise</a> checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/appraise"">Appraise</a> is always a class skill for you. In addition, your contacts in the antiquities markets allow you to sell relics for 60% of their listed price, rather than the normal 50% value. What is considered an ancient relic is left to the GM's discretion.",http://www.d20pfsrd.com/traits/campaign-traits/mummy-s-mask/foreign-opportunist/,MUM
Former Assassin,Campaign Trait,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/bluff"">Bluff</a> checks to pass hidden messages. Also, anytime you deliver a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#coup-de-grace"">coup de grace</a> , you deal an additional 1d6 points of damage.",http://www.d20pfsrd.com/traits/campaign-traits/shattered-star/former-assassin/,STR
Foster Child,Campaign Trait,"Choose any <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> skill—you gain a +2 bonus on skill checks with that <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> skill, and it becomes a class skill for you. In addition, you gain a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> against foes that threaten your adoptive mother.",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/foster-child/,JRG
Framed,Campaign Trait,"Someone you know and love was accused of murder. A supposed eyewitness account from a local fisherman seemed to be enough to seal the case, but the accused had enough alibis that sentencing wasn’t immediate. Someone confronted the fisherman and discovered he was intimidated into providing false witness and forced into planting the murder weapon by the actual murderer—a local crimelord. His thugs killed the fisherman before he could recant his testimony. Although this removed the key witness and resulted in the accused being set free, the stigma was enough to badly damage his reputation. If you can find the crimelord, you’re sure you can find evidence that ties him to the murder and can clear the accused’s name. Family Honor: The person framed was a family member, perhaps a father or brother. You managed to trick the fisherman into revealing the truth with your skilled tongue, and thus gain a +2 bonus on Bluff checks. Dropout: You were the one accused. Although you were eventually freed when a friend confronted the fisherman and got the truth, the damage had been done. You were forced to leave your school or church. As a result, you were forced to self-train and promised yourself you would become better at your chosen profession despite the spurning of your peers. You gain a +2 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/spellcraft"">Spellcraft</a> checks.",http://www.d20pfsrd.com/traits/campaign-traits/curse-of-the-crimson-throne/framed/,CCT
Friend of the Family,Campaign Trait,"As long as your family friend remains alive, you gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/perception"">Perception</a> checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/perception"">Perception</a> becomes a class skill for you. In addition, you gain a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> against foes that threaten your family friend.",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/friend-of-the-family/,JRG
Get the Cargo Through,Campaign Trait,"Your character’s history as a merchant or mercenary has earned her a respectable living, and you begin the campaign with an additional 300 gp in starting wealth.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/get-the-cargo-through/,SKL
Gnoll Killer,Campaign Trait,"You gain a +1 trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> and weapon damage rolls made against <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/gnoll"">gnolls</a>. If you are a <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/barbarian"">barbarian</a> and you’re fighting <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/gnoll"">gnolls</a>, your <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/barbarian#TOC-Rage-Ex-"">rage</a> lasts 1 round longer than normal. If you’re a <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/ranger"">ranger</a> and you select <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Humanoid"">humanoid</a> (<a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/gnoll"">gnoll</a>) as a <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/ranger#TOC-Favored-Enemy-Ex-"">favored enemy</a>, your trait bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> and weapon damage rolls against <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/gnoll"">gnolls</a> increases to +2. If you’re a spellcaster, you gain a +1 trait bonus to spell save DCs for damaging spells against <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/gnoll"">gnolls</a>.",http://www.d20pfsrd.com/traits/campaign-traits/legacy-of-fire/gnoll-killer/,LOF
Hero Worship,Campaign Trait,"You admire an NPC as a hero to respect and attempt to model your life after. You gain one of the following benefits depending on the NPC chosen (consult your GM for details). <p style=""font-weight:normal;margin-left:40px"">A +2 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/magic#TOC-Concentration"">concentration</a> checks. </p><p style=""font-weight:normal;margin-left:40px"">A +1 bonus to your AC against <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attacks-of-Opportunity"">attacks of opportunity</a>.</p>",http://www.d20pfsrd.com/traits/campaign-traits/jade-regent-traits/hero-worship/,JRG
Infernal Bastard,Campaign Trait,"You lack a tiefling’s standard resistances to cold, electricity, and fire—instead, you merely have a +2 bonus on all saving throws made against these effects. Likewise, you do not have the ability to use darkness as a spell-like ability once per day—instead, you may choose any one 0-level spell that you can instead use at will as a spell-like ability. <b>Prerequisite: </b>: Tiefling.",http://www.d20pfsrd.com/traits/campaign-traits/council-of-thieves/infernal-bastard/,COT
Inquisitive Archaeologist,Campaign Trait,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (engineering) checks, and that skill is always a class skill for you. In addition, you gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/perception"">Perception</a> checks to find concealed or secret doors in ancient structures.",http://www.d20pfsrd.com/traits/campaign-traits/mummy-s-mask/inquisitive-archaeologist/,MUM
Inspired by Greatness,Campaign Trait,"Choose one spell you can cast. From now on, you always cast this spell at +1 caster level.",http://www.d20pfsrd.com/traits/campaign-traits/carrion-crown/inspired-by-greatness/,CCR
Into Enemy Territory,Campaign Trait,"Choose <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Fortitude"">Fortitude</a>, <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Reflex"">Reflex</a>, or <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Will"">Will</a>. You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on saving throws of that type.",http://www.d20pfsrd.com/traits/campaign-traits/second-darkness/into-enemy-territory/,SDK
Jungle Scholar,Campaign Trait,"You gain Polyglot as a bonus language and receive a +1 trait bonus on all <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (history) checks regarding the jungle.",http://www.d20pfsrd.com/traits/campaign-traits/serpent-s-skull/jungle-scholar/,SKL
